p01/k01	155	275
p01/k02	145 250
p01/k03	144	305
p01/w01	90	210
p01/w02	160	205
p01/w03	170	205
p01/s01	140	200
p01/s02	175	240
p01/s03	110	175

p02/k01	165	235
p02/k02	195	350
p02/k03	-1 	-1
p02/w01	110	240
p02/w02	150	340
p02/w03	165	325
p02/s01	185	250
p02/s02	130	330
p02/s03	160 205

p03/k01	145	370
p03/k02	165	340
p03/k03	150	375
p03/w01	170	305
p03/w02	155	345
p03/w03	180	265
p03/s01	165 285
p03/s02	215	285
p03/s03	145	300

p04/k01	-1	-1
p04/k02	240	375
p04/k03	270	320
p04/w01	170	255
p04/w02	175	295
p04/w03	185	250
p04/s01	165	255
p04/s02	155	310
p04/s03	140	250

p05/k01	205	370
p05/k02	240	320
p05/k03	205	315
p05/w01	115	240
p05/w02	140	250
p05/w03	110	270
p05/s01	135	330
p05/s02	85	320
p05/s03	125	340

p06/k01	135	325
p06/k02	200	330
p06/k03	170	280
p06/w01	110	280
p06/w02	110	290
p06/w03	115	270
p06/s01	105	290
p06/s02	100	280
p06/s03	95	270

p07/k01	-1	-1
p07/k02	240	350
p07/k03	210	370
p07/w01	205	310
p07/w02	170	330
p07/w03	140	315
p07/s01	190	245
p07/s02	190	240
p07/s03	150	295

p08/k01	130	240
p08/k02	150	215
p08/k03	130	275
p08/w01	140	210
p08/w02	140	200
p08/w03	180	255
p08/s01	140	230
p08/s02 100 260
p08/s03	175	230

p09/k01	155	260
p09/k02	145	260
p09/k03	140	270
p09/w01	130	290
p09/w02	130	250
p09/w03	105	280
p09/s01	-1	-1
p09/s02	-1	-1
p09/s03	-1	-1

p10/k01	170	380
p10/k02	150	270
p10/k03	150	170
p10/w01	160	220
p10/w02	135	360
p10/w03	190	200
p10/s01	125	180
p10/s02	140	320
p10/s03	95	360

p11/k01	240	270
p11/k02	220	250
p11/k03	240	300
p11/w01	160	230
p11/w02	175	280
p11/w03	145	230
p11/s01	165	170
p11/s02	155	210
p11/s03	130	200
